# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
36.85,-115.39,0.16
37.14,-115.43,0.25
37.42,-115.47,3.32
37.70,-115.51,0.19
37.99,-115.55,0.90
38.27,-115.59,1.84
38.56,-115.63,5.09
38.84,-115.68,1.88
39.13,-115.72,0.23
39.41,-115.76,3.56
39.70,-115.81,1.85
39.98,-115.85,1.68
40.27,-115.89,2.78
40.55,-115.94,3.18
40.84,-115.99,0.91
41.13,-116.03,1.43
41.41,-116.08,3.11
41.70,-116.12,2.80
41.99,-116.17,3.95
42.27,-116.22,3.07
42.56,-116.27,2.45
42.85,-116.32,1.91
43.14,-116.37,1.63
43.42,-116.42,1.86
43.71,-116.47,3.99
44.00,-116.52,6.53
44.29,-116.57,2.91
44.58,-116.62,4.91
44.87,-116.67,4.49
45.15,-116.73,10.06
45.44,-116.78,5.93
45.73,-116.84,4.66
46.02,-116.89,7.30
46.31,-116.95,8.40
46.60,-117.00,10.74
46.89,-117.06,10.14
47.17,-117.12,8.45
47.46,-117.17,5.82
47.75,-117.23,9.72
48.04,-117.29,7.99
48.33,-117.35,7.83
48.62,-117.41,7.08
48.91,-117.48,8.13
32.67,-114.50,0.10
32.95,-114.53,0.11
33.23,-114.57,0.13
33.51,-114.60,0.19
33.79,-114.63,0.14
34.07,-114.67,0.14
34.35,-114.70,0.49
34.63,-114.74,0.92
34.91,-114.78,0.53
35.19,-114.81,0.79
35.47,-114.85,0.67
35.75,-114.88,0.22
36.04,-114.92,0.14
36.32,-114.96,0.12
36.60,-115.00,0.35
36.88,-115.03,0.24
37.17,-115.07,0.77
37.45,-115.11,0.67
37.74,-115.15,0.50
38.02,-115.19,3.50
38.30,-115.23,1.72
38.59,-115.27,0.81
38.87,-115.31,0.73
39.16,-115.35,0.40
39.44,-115.39,0.41
39.73,-115.43,4.90
40.02,-115.48,1.62
40.30,-115.52,1.77
40.59,-115.56,3.04
40.87,-115.61,2.85
41.16,-115.65,1.55
41.45,-115.70,1.60
41.74,-115.74,1.64
42.02,-115.79,2.84
